id,id_parameter,id_sector,id_final_energy_carrier,label,unit,importance,2010,2015,2020,2025,2030,2040,2050
1,17.0,1.0,1.0,Share of electricity among removed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,17.0,1.0,2.0,Share of oil among removed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,17.0,1.0,3.0,Share of coal among removed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,17.0,1.0,4.0,Share of gas among removed,%,recommended,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,17.0,1.0,5.0,Share of biomass and waste among removed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,17.0,1.0,6.0,Share of heat among removed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17.0,1.0,7.0,Share of H2 and e-fuels among removed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,18.0,1.0,1.0,Share of electricity among installed,%,recommended,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,18.0,1.0,2.0,Share of oil among installed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,18.0,1.0,3.0,Share of coal among installed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,18.0,1.0,4.0,Share of gas among installed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,18.0,1.0,5.0,Share of biomass and waste among installed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,18.0,1.0,6.0,Share of heat among installed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,18.0,1.0,7.0,Share of H2 and e-fuels among installed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,14.0,1.0,1.0,Efficiency of removed electricity,%,optional,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,14.0,1.0,2.0,Efficiency of removed oil,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
17,14.0,1.0,3.0,Efficiency of removed coal,%,optional,0.88,0.88,0.88,0.88,0.88,0.88,0.88
18,14.0,1.0,4.0,Efficiency of removed gas,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
19,14.0,1.0,5.0,Efficiency of removed biomass and waste,%,optional,0.88,0.88,0.88,0.88,0.88,0.88,0.88
20,14.0,1.0,6.0,Efficiency of removed heat,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
21,14.0,1.0,7.0,Efficiency of removed H2 and e-fuels,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
22,15.0,1.0,1.0,Efficiency of installed electricity,%,optional,1.5,1.5,1.5,1.5,1.5,1.5,1.5
23,15.0,1.0,2.0,Efficiency of installed oil,%,optional,0.94,0.94,0.94,0.94,0.94,0.94,0.94
24,15.0,1.0,3.0,Efficiency of installed coal,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
25,15.0,1.0,4.0,Efficiency of installed gas,%,optional,0.93,0.93,0.93,0.93,0.93,0.93,0.93
26,15.0,1.0,5.0,Efficiency of installed biomass and waste,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
27,15.0,1.0,6.0,Efficiency of installed heat,%,optional,0.92,0.92,0.92,0.92,0.92,0.92,0.92
28,15.0,1.0,7.0,Efficiency of installed H2 and e-fuels,%,optional,0.93,0.93,0.93,0.93,0.93,0.93,0.93
29,17.0,2.0,1.0,Share of electricity among removed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,17.0,2.0,2.0,Share of oil among removed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,17.0,2.0,3.0,Share of coal among removed,%,recommended,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,17.0,2.0,4.0,Share of gas among removed,%,recommended,100.0,100.0,100.0,100.0,100.0,100.0,100.0
